Measurement Time,Site,Vessel Name,Contents,Vessel Type,Distance Units,Volume Units,Weight Units,Vessel Height,Vessel Radius,Vessel Length,Vessel Width,Hopper Height,Outlet Radius,Outlet Length,Outlet Width,Capacity Volume,Sensor Type,Sensor Address,Measurement in Feet,Measurement in Meters,Product Density,Density Units,Product Volume,Product Weight,Product Height,Headroom Volume,Headroom Weight,Headroom Height,% Full,Alarm Condition
4/30/2026 7:00:30 AM,'Current Location','Silo 01','LL241','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'1'",18,5.4864,36.00,'lbs/cu ft',8928.41,321422.63,62,2770.88,99751.85,18,76,
4/30/2026 7:01:13 AM,'Current Location','Silo 02','LL481','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'2'",56.2625,17.1488,35.00,'lbs/cu ft',3038.35,106342.32,23.74,8660.94,303132.86,56.26,26,
4/30/2026 7:00:51 AM,'Current Location','Silo 03','LL443','CYLINDER','ft','cu ft','lbs',56.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6559.65,'SmartBob-II (Protocol A)',"'3'",33.75,10.287,36.00,'lbs/cu ft',2742.61,98733.97,28.25,3817.04,137413.26,33.75,42,
4/30/2026 7:01:21 AM,'Current Location','Silo 04','LL2010T','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,5.80,0.00,0.00,0.00,11689.03,'SmartBob-II (Protocol A)',"'4'",64.025,19.5148,35.00,'lbs/cu ft',1833.15,64160.09,15.78,9855.88,344955.91,64.02,16,
4/30/2026 7:00:39 AM,'Current Location','Silo 05','LL264','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'5'",17.125,5.2197,36.00,'lbs/cu ft',9063.1,326271.68,62.88,2636.19,94902.8,17.12,77,
4/30/2026 7:00:31 AM,'Current Location','Silo 06','LL441','CYLINDER','ft','cu ft','lbs',56.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6559.65,'SmartBob-II (Protocol A)',"'6'",16.3875,4.9949,36.00,'lbs/cu ft',4706.26,169425.46,45.61,1853.38,66721.77,16.39,72,
4/30/2026 7:00:27 AM,'Current Location','Silo 07','RC2SP','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'7'",6.1,1.8593,36.00,'lbs/cu ft',10760.27,387369.68,73.9,939.02,33804.79,6.1,92,
4/30/2026 7:00:18 AM,'Current Location','Silo 08','LL2010','CYLINDER','ft','cu ft','lbs',56.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6559.65,'SmartBob-II (Protocol A)',"'8'",6.9,2.1031,36.00,'lbs/cu ft',5779.27,208053.86,55.1,780.37,28093.38,6.9,88,
4/30/2026 7:00:30 AM,'Current Location','Silo 09','LL241','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'9'",18,5.4864,36.00,'lbs/cu ft',8928.41,321422.63,62,2770.88,99751.85,18,76,
4/30/2026 7:01:05 AM,'Current Location','Silo 10','LL443','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'10'",47.1625,14.3751,36.00,'lbs/cu ft',4439.19,159810.78,32.84,7260.1,261363.7,47.16,38,
4/30/2026 7:01:46 AM,'Current Location','Silo 11','LL441','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11750.6,'SmartBob-II (Protocol A)',"'11'",81.9625,24.9822,36.00,'lbs/cu ft',0,0,0,11750.6,423021.73,81,0,'Low Alarm'
4/30/2026 7:00:27 AM,'Current Location','Silo 12','LL264','CYLINDER','ft','cu ft','lbs',75.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11904.54,'SmartBob-II (Protocol A)',"'12'",14.5875,4.4463,36.00,'lbs/cu ft',9658.97,347722.94,67.41,2245.57,80840.56,14.59,81,
4/30/2026 7:01:24 AM,'Current Location','Silo 13','LL481','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11750.6,'SmartBob-II (Protocol A)',"'13'",67.8,20.6654,36.00,'lbs/cu ft',1313.6,47289.77,13.2,10437,375731.97,67.8,11,
4/30/2026 7:00:31 AM,'Current Location','Silo 14','LL4518','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11750.6,'SmartBob-II (Protocol A)',"'14'",20.5,6.2484,36.00,'lbs/cu ft',8594.87,309415.46,60.5,3155.73,113606.27,20.5,73,
4/30/2026 7:00:29 AM,'Current Location','Silo 15','PC103','CYLINDER','ft','cu ft','lbs',62.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,7238.23,'SmartBob-II (Protocol A)',"'15'",17.525,5.3416,36.00,'lbs/cu ft',5256.2,189223.15,50.48,1982.03,71353.11,17.52,73,
4/30/2026 7:00:48 AM,'Current Location','Silo 16','LL812','CYLINDER','ft','cu ft','lbs',62.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,7238.23,'SmartBob-II (Protocol A)',"'16'",41.3,12.5882,35.00,'lbs/cu ft',2567.31,89855.83,26.7,4670.92,163482.2,41.3,35,

